model,ticker,MAPE
cnn_lstm,000660.KS,4.9237775802612305
cnn_lstm,005930.KS,3.288336753845215
cnn_lstm,0700.HK,4.309201240539551
cnn_lstm,0939.HK,2.710686206817627
cnn_lstm,1288.HK,2.8199994564056396
cnn_lstm,1398.HK,2.7737479209899902
cnn_lstm,2222.SR,1.867143988609314
cnn_lstm,AAPL,3.4897520542144775
cnn_lstm,ABBV,2.871319532394409
cnn_lstm,AMD,6.156177997589111
cnn_lstm,AMZN,4.021434307098389
cnn_lstm,ASML,4.666445732116699
cnn_lstm,AVGO,4.469787120819092
cnn_lstm,AZN,3.2784793376922607
cnn_lstm,BABA,5.531913757324219
cnn_lstm,BAC,3.7707111835479736
cnn_lstm,BRK-B,2.2527809143066406
cnn_lstm,CAT,3.8366940021514893
cnn_lstm,COST,2.644111394882202
cnn_lstm,CSCO,2.766554117202759
cnn_lstm,CVX,3.4608776569366455
cnn_lstm,GE,4.1559882164001465
cnn_lstm,GOOGL,3.542527675628662
cnn_lstm,HD,3.0549569129943848
cnn_lstm,HSBC,3.242676258087158
cnn_lstm,JNJ,2.166189670562744
cnn_lstm,JPM,3.2588343620300293
cnn_lstm,KO,2.19204044342041
cnn_lstm,LLY,3.863095760345459
cnn_lstm,LRCX,5.3952226638793945
cnn_lstm,MA,3.0296525955200195
cnn_lstm,MC.PA,3.4524102210998535
cnn_lstm,META,4.676085472106934
cnn_lstm,MRK,2.842618227005005
cnn_lstm,MSFT,3.078399419784546
cnn_lstm,MU,5.823569297790527
cnn_lstm,NFLX,4.748539447784424
cnn_lstm,NOVN.SW,2.3214173316955566
cnn_lstm,NVDA,5.852096080780029
cnn_lstm,ORCL,4.004141807556152
cnn_lstm,PG,2.118518590927124
cnn_lstm,PLTR,7.8880438804626465
cnn_lstm,ROG.SW,2.5538387298583984
cnn_lstm,TM,3.13765025138855
cnn_lstm,TSLA,7.688175201416016
cnn_lstm,TSM,4.1846771240234375
cnn_lstm,V,2.743684768676758
cnn_lstm,WMT,2.4638803005218506
cnn_lstm,XOM,3.6616857051849365
transformer,000660.KS,4.936029434204102
transformer,005930.KS,3.2918405532836914
transformer,0700.HK,4.286011219024658
transformer,0939.HK,2.697273015975952
transformer,1288.HK,2.817892074584961
transformer,1398.HK,2.767287254333496
transformer,2222.SR,1.8192867040634155
transformer,AAPL,3.475501775741577
transformer,ABBV,2.864041805267334
transformer,AMD,6.113063812255859
transformer,AMZN,4.018833637237549
transformer,ASML,4.644528865814209
transformer,AVGO,4.497194766998291
transformer,AZN,3.268280506134033
transformer,BABA,5.514590263366699
transformer,BAC,3.775607109069824
transformer,BRK-B,2.2328295707702637
transformer,CAT,3.8365848064422607
transformer,COST,2.609264850616455
transformer,CSCO,2.7450194358825684
transformer,CVX,3.4340944290161133
transformer,GE,4.15751838684082
transformer,GOOGL,3.542128562927246
transformer,HD,3.0393450260162354
transformer,HSBC,3.2473835945129395
transformer,JNJ,2.1376535892486572
transformer,JPM,3.2787983417510986
transformer,KO,2.134103775024414
transformer,LLY,3.8364832401275635
transformer,LRCX,5.383598327636719
transformer,MA,3.017191171646118
transformer,MC.PA,3.4466850757598877
transformer,META,4.694666862487793
transformer,MRK,2.8218629360198975
transformer,MSFT,3.0831422805786133
transformer,MU,5.820435523986816
transformer,NFLX,4.752366065979004
transformer,NOVN.SW,2.291653871536255
transformer,NVDA,5.862421035766602
transformer,ORCL,3.982930898666382
transformer,PG,2.06217360496521
transformer,PLTR,7.869502067565918
transformer,ROG.SW,2.5399715900421143
transformer,TM,3.1233956813812256
transformer,TSLA,7.679083347320557
transformer,TSM,4.193745136260986
transformer,V,2.725531816482544
transformer,WMT,2.4253697395324707
transformer,XOM,3.646793842315674
